TV,radio,newspaper,sales
216.8,43.9,27.2,22300.0
199.1,30.6,38.7,18300.0
109.8,14.3,31.7,12400.0
26.8,33.0,19.3,8800.0
129.4,5.7,31.3,11000.0
213.4,24.6,13.1,17000.0
16.9,43.7,89.4,8700.0
27.5,1.6,20.7,6900.0
120.5,28.5,14.2,14200.0
5.4,29.9,9.4,5300.0
116.0,7.7,23.1,11000.0
76.4,26.7,22.3,11800.0
239.8,4.1,36.9,12300.0
75.3,20.3,32.5,11300.0
68.4,44.5,35.6,13600.0
213.5,43.0,33.8,21700.0
193.2,18.4,65.7,15200.0
76.3,27.5,16.0,12000.0
110.7,40.6,63.2,16000.0
88.3,25.5,73.4,12900.0
109.8,47.8,51.4,16700.0
134.3,4.9,9.3,11200.0
28.6,1.5,33.0,7300.0
217.7,33.5,59.0,19400.0
250.9,36.5,72.3,22200.0
107.4,14.0,10.9,11500.0
163.3,31.6,52.9,16900.0
197.6,3.5,5.9,11700.0
184.9,21.0,22.0,15500.0
289.7,42.3,51.2,25400.0
135.2,41.7,45.9,17200.0
222.4,4.3,49.8,11700.0
296.4,36.3,100.9,23800.0
280.2,10.1,21.4,14800.0
187.9,17.2,17.9,14700.0
238.2,34.3,5.3,20700.0
137.9,46.4,59.0,19200.0
25.0,11.0,29.7,7200.0
90.4,0.3,23.2,8700.0
13.1,0.4,25.6,5300.0
255.4,26.9,5.5,19800.0
225.8,8.2,56.5,13400.0
241.7,38.0,23.2,21800.0
175.7,15.4,2.4,14100.0
209.6,20.6,10.7,15900.0
78.2,46.8,34.5,14600.0
75.1,35.0,52.7,12600.0
139.2,14.3,25.6,12200.0
76.4,0.8,14.8,9400.0
125.7,36.9,79.2,15900.0
19.4,16.0,22.3,6600.0
141.3,26.8,46.2,15500.0
18.8,21.7,50.4,7000.0
224.0,2.4,15.6,11600.0
123.1,34.6,12.4,15200.0
229.5,32.3,74.2,19700.0
87.2,11.8,25.9,10600.0
7.8,38.9,50.6,6600.0
80.2,0.0,9.2,8800.0
220.3,49.0,3.2,24700.0
59.6,12.0,43.1,9700.0
0.7,39.6,8.7,1600.0
265.2,2.9,43.0,12700.0
8.4,27.2,2.1,5700.0
219.8,33.5,45.1,19600.0
36.9,38.6,65.6,10800.0
48.3,47.0,8.5,11600.0
25.6,39.0,9.3,9500.0
273.7,28.9,59.7,20800.0
43.0,25.9,20.5,9600.0
184.9,43.9,1.7,20700.0
73.4,17.0,12.9,10900.0
193.7,35.4,75.6,19200.0
220.5,33.2,37.9,20100.0
104.6,5.7,34.4,10400.0
96.2,14.8,38.9,11400.0
140.3,1.9,9.0,10300.0
240.1,7.3,8.7,13200.0
243.2,49.0,44.3,25400.0
38.0,40.3,11.9,10900.0
44.7,25.8,20.6,10100.0
280.7,13.9,37.0,16100.000000000002
121.0,8.4,48.7,11600.0
197.6,23.3,14.2,16600.0
171.3,39.7,37.7,19000.0
187.8,21.1,9.5,15600.0
4.1,11.6,5.7,3200.0
93.9,43.5,50.5,15300.0
149.8,1.3,24.3,10100.0
11.7,36.9,45.2,7300.0
131.7,18.4,34.6,12900.0
172.5,18.1,30.7,14400.0
85.7,35.8,49.3,13300.0
188.4,18.1,25.6,14900.0
163.5,36.8,7.4,18000.0
117.2,14.7,5.4,11900.0
234.5,3.4,84.8,11900.0
17.9,37.6,21.6,8000.0
206.8,5.2,19.4,12200.0
215.4,23.6,57.6,17100.0
284.3,10.6,6.4,15000.0
50.0,11.6,18.4,8400.0
164.5,20.9,47.4,14500.0
19.6,20.1,17.0,7600.0
168.4,7.1,12.8,11700.0
222.4,3.4,13.1,11500.0
276.9,48.9,41.8,27000.0
248.4,30.2,20.3,20200.0
170.2,7.8,35.2,11700.0
276.7,2.3,23.7,11800.0
165.6,10.0,17.6,12600.0
156.6,2.6,8.3,10500.0
218.5,5.4,27.4,12200.0
56.2,5.7,29.7,8700.0
287.6,43.0,71.8,26200.0
253.8,21.3,30.0,17600.0
205.0,45.1,19.6,22600.0
139.5,2.1,26.6,10300.0
191.1,28.7,18.2,17300.0
286.0,13.9,3.7,15900.0
18.7,12.1,23.4,6700.0
39.5,41.1,5.8,10800.0
75.5,10.8,6.0,9900.0
17.2,4.1,31.6,5900.0
166.8,42.0,3.6,19600.0
149.7,35.6,6.0,17300.0
38.2,3.7,13.8,7600.0
94.2,4.9,8.1,9700.0
177.0,9.3,6.4,12800.0
283.6,42.0,66.2,25500.0
232.1,8.6,8.7,13400.0
353.9,10.9,6.4,17916.8
426.9,50.2,33.9,30374.5
451.5,9.6,56.7,18756.6
525.7,4.1,19.6,16797.0
174.4,13.8,26.0,14837.3
302.9,48.2,58.7,25895.3
180.8,0.4,23.3,12177.8
444.7,4.0,13.1,16097.1
369.7,51.3,1.7,28974.8
375.7,20.1,18.0,20576.3
433.5,51.3,27.3,31214.4
262.1,50.0,29.0,25195.5
553.7,57.1,42.0,37793.2
26.2,0.5,25.7,7418.7
275.7,54.2,59.2,26875.2
530.3,3.4,43.2,17776.8
214.7,16.3,10.9,16097.1
432.7,48.7,39.7,31634.3
50.2,30.0,43.5,11897.9
439.5,39.1,45.3,27435.1
47.6,41.0,66.1,12877.7
132.2,6.8,24.3,12037.8
531.1,23.4,0.3,24355.6
365.1,54.0,58.9,29674.7
51.2,45.5,9.3,13297.6
429.3,28.0,4.0,24355.6
63.0,28.7,2.2,13297.6
399.5,3.6,34.7,15957.1
430.7,27.6,57.8,23935.7
179.4,11.6,35.8,14837.3
187.8,50.8,50.7,21416.1
567.1,49.0,66.4,35693.6
562.7,46.2,56.0,34153.8
55.0,1.9,20.8,9658.3
486.3,57.2,44.5,35553.6
89.4,30.1,20.7,14137.5
333.5,49.0,3.6,27435.1
436.7,32.3,53.6,25195.5
278.9,2.5,26.7,14417.4
421.3,34.4,9.3,25755.4
152.8,0.9,14.9,13157.6
458.9,37.7,74.5,27575.0
205.4,34.6,8.4,19596.5
525.3,33.6,16.0,28274.9
115.0,38.3,23.6,16517.0
435.3,39.1,59.2,27155.1
219.5,55.8,51.6,23375.8
409.9,52.7,19.7,31634.3
195.0,8.9,7.2,13577.6
270.3,48.7,46.1,24075.7
479.7,48.5,18.6,32474.2
268.5,5.7,9.3,15677.2
234.3,17.2,5.4,16657.0
96.6,54.9,8.5,16237.1
496.7,35.3,20.4,28274.9
119.2,14.0,43.3,13577.6
141.2,18.7,40.9,14697.4
240.9,33.3,14.3,19876.4
26.4,18.6,49.8,7838.6
150.2,40.9,52.9,17636.8
194.4,1.8,30.1,13437.6
240.3,22.9,11.6,18476.7
399.5,3.0,21.3,14837.3
313.1,3.0,8.3,14697.4
510.7,31.4,5.5,27715.0
547.3,33.7,59.9,29114.8
419.1,24.1,10.7,22256.0
138.0,10.9,0.9,13017.7
444.7,5.0,50.0,16377.1
17.2,2.5,1.0,6718.8
413.5,6.1,19.5,17076.9
39.2,23.5,17.1,10638.1
258.7,6.7,31.4,15397.2
149.4,57.7,45.9,20576.3
53.6,38.5,19.4,12317.8
